ID	Type	Name	Semester hours	Credits	Current Semester	Proffesor	CourseLink	ProfessorLink
185.A49	UE	Abstrakte Maschinen	2.0	3.0	2017S	Krall, Andreas	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A49&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/469221
185.966	VO	Abstrakte Maschinen	2.0	3.0	2017S	Krall, Andreas	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185966&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/469221
185.276	VU	Analyse und Verifikation	2.0	3.0	2017S	Knoop, Jens	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185276&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/1972441
185.A17	PR	Bachelorarbeit für Informatik und Wirtschaftsinformatik	5.0	10.0	2017S	Krall, Andreas	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A17&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/469221
185.A26	PR	Bachelorarbeit für Informatik und Wirtschaftsinformatik	5.0	10.0	2017S	Ciabattoni, Agata	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A26&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/1287261
185.A50	VU	Dynamic Compilation Dynamische Übersetzer	2.0	3.0	2017S	Krall, Andreas	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A50&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/469221
185.291	VU	Formale Methoden der Informatik	4.0	6.0	2017S	Salzer, Gernot	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185291&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/468649
185.A06	VU	Formale Modellierung	2.0	3.0	2017S	Salzer, Gernot	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A06&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/468649
185.A39	SE	Forschungsseminar für DiplomandInnen und DissertantInnen	2.0	3.0	2017S	Ciabattoni, Agata	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A39&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/1287261
185.A05	VU	Fortgeschrittene funktionale Programmierung	2.0	3.0	2017S	Knoop, Jens	https://tiss.tuwien.ac.at/course/courseDetails.xhtml?windowId=afa&courseNr=185A05&semester=2017S	https://tiss.tuwien.ac.at/adressbuch/adressbuch/person_via_oid/1972441
